settlement_id,utr_reference,amount,date,merchant
SETL2000,UTR500000,3233.19,2026-08-02,Nykaa
SETL2001,UTR500001,783.74,2026-08-05,Swiggy
SETL2002,UTR500002,255.74,2026-08-04,BigBasket
SETL2003,UTR500003,3030.86,2026-08-19,BigBasket
SETL2004,UTR500004,2155.65,2026-08-17,Nykaa
SETL2005,UTR500005,3818.16,2026-08-07,Ola
SETL2006,UTR500006,861.85,2026-08-26,Flipkart
SETL2007,UTR500007,1961.64,2026-08-13,Flipkart
SETL2008,UTR500008,4054.93,2026-08-25,Uber
SETL2009,UTR500009,4868.27,2026-08-14,Swiggy
SETL2010,UTR500010,4164.08,2026-08-21,Flipkart
SETL2011,UTR500011,3552.4,2026-08-04,BigBasket
SETL2012,UTR500012,4291.06,2026-08-05,Ola
SETL2013,UTR500013,3214.85,2026-08-13,Myntra
SETL2014,UTR500014,1126.58,2026-08-10,Swiggy
SETL2015,UTR500015,938.58,2026-08-25,BigBasket
SETL2016,UTR500016,1937.47,2026-08-22,BigBasket
SETL2017,UTR500017,3902.4,2026-08-11,Zomato
SETL2018,UTR500018,1411.93,2026-08-08,Flipkart
SETL2019,UTR500019,2546.23,2026-08-22,Uber
SETL2020,UTR500020,770.62,2026-08-25,Nykaa
SETL2022,UTR500022,777.83,2026-08-18,Swiggy
SETL2023,UTR500023,848.92,2026-08-07,Ola
SETL2024,UTR500024,1985.36,2026-08-21,Uber
SETL2025,UTR500025,4842.54,2026-08-02,Swiggy
SETL2026,UTR500026,1407.44,2026-08-22,Flipkart
SETL2028,UTR500028,4391.68,2026-08-10,Myntra
SETL2029,UTR500029,621.41,2026-08-25,Nykaa
SETL2030,UTR500030,3083.95,2026-08-09,Flipkart
SETL2031,UTR500031,4772.15,2026-08-18,Zomato
SETL2032,UTR500032,2494.17,2026-08-05,FLIPKART
SETL2033,UTR500033,4175.16,2026-08-11,BigBasket
SETL2034,UTR500034,4380.93,2026-08-04,Swiggy
SETL2035,UTR500035,4892.12,2026-08-19,Myntra
SETL2036,UTR500036,2428.88,2026-08-19,Myntra
SETL2037,UTR500037,4374.92,2026-08-15,BIGBASKET
SETL2038,UTR500038,3787.82,2026-08-24,BigBasket
SETL2039,UTR500039,3391.27,2026-08-13,UBER
SETL2040,UTR500040,2312.28,2026-08-09,BigBasket
SETL2041,UTR500041,203.07,2026-08-19,BigBasket
SETL2042,UTR500042,135.24,2026-08-24,Zomato
SETL2043,UTR500043,4536.56,2026-08-12,Swiggy
SETL2044,UTR500044,1464.54,2026-08-17,BigBasket
SETL2045,UTR500045,3644.43,2026-08-20,Uber
SETL2046,UTR500046,2417.57,2026-08-15,BigBasket
SETL2047,UTR500047,3329.02,2026-08-13,Ola
SETL2048,UTR500048,4332.8,2026-08-03,Swiggy
SETL2049,UTR500049,3668.25,2026-08-27,Swiggy
SETL2050,UTR500050,1032.02,2026-08-16,Myntra
SETL2051,UTR500051,1464.87,2026-08-09,Swiggy
SETL2052,UTR500052,4320.61,2026-08-19,Swiggy
SETL2053,UTR500053,4996.48,2026-08-02,SWIGGY BUNDL TECH
SETL2054,UTR500054,4258.61,2026-08-07,Ola
SETL2055,UTR500055,1147.36,2026-08-14,Zomato
SETL2056,UTR500056,110.56,2026-08-14,NYKAA
SETL2057,UTR500057,3927.52,2026-08-11,Ola
SETL2058,UTR500058,3938.47,2026-08-23,Uber
SETL2059,UTR500059,1547.73,2026-08-03,Zomato
SETL2060,UTR500060,2962.47,2026-08-18,Myntra
SETL2061,UTR500061,2588.36,2026-08-07,Swiggy
SETL2062,UTR500062,3408.54,2026-08-09,Ola
SETL2063,UTR500063,4462.41,2026-08-09,Zomato
SETL2065,UTR500065,1100.87,2026-08-24,Flipkart
SETL2066,UTR500066,2039.35,2026-08-23,Nykaa
SETL2067,UTR500067,4652.19,2026-08-04,Zomato
SETL2068,UTR500068,4992.43,2026-08-05,Swiggy
SETL2069,UTR500069,2578.84,2026-08-06,FLIPKART
SETL2070,UTR500070,4408.42,2026-08-13,Nykaa
SETL2071,UTR500071,4185.35,2026-08-24,Nykaa
SETL2072,UTR500072,4921.35,2026-08-22,Zomato
SETL2073,UTR500073,4665.6,2026-08-05,Myntra
SETL2074,UTR500074,4459.59,2026-08-25,Myntra
SETL2075,UTR500075,3063.67,2026-08-24,Flipkart
SETL2076,UTR500076,3207.77,2026-08-10,Uber
SETL2077,UTR500077,4549.98,2026-08-03,Swiggy
SETL2078,UTR500078,4163.81,2026-08-03,Zomato
SETL2079,UTR500079,724.99,2026-08-10,Myntra
SETL2080,UTR500080,2195.67,2026-08-02,Swiggy
SETL2081,UTR500081,4427.22,2026-08-09,Zomato
SETL2082,UTR500082,2807.37,2026-08-15,Myntra
SETL2083,UTR500083,1886.79,2026-08-27,ZOMATO ONLINE SERVICES
SETL2084,UTR500084,1129.38,2026-08-09,Swiggy
SETL2085,UTR500085,2843.43,2026-08-15,MYNTRA DESIGNS
SETL2086,UTR500086,1260.01,2026-08-07,MYNTRA DESIGNS
SETL2087,UTR500087,221.45,2026-08-27,Flipkart
SETL2088,UTR500088,4030.95,2026-08-25,BigBasket
SETL2089,UTR500089,3958.14,2026-08-05,OLA
SETL2090,UTR500090,4307.11,2026-08-11,BigBasket
SETL2091,UTR500091,1813.33,2026-08-27,BigBasket
SETL2092,UTR500092,3334.16,2026-08-14,Flipkart
SETL2093,UTR500093,440.16,2026-08-26,Nykaa
SETL2095,UTR500095,665.17,2026-08-10,Myntra
SETL2096,UTR500096,4919.4,2026-08-03,Swiggy
SETL2097,UTR500097,1793.87,2026-08-27,Flipkart
SETL2098,UTR500098,4922.76,2026-08-05,OLA
SETL2099,UTR500099,1031.39,2026-08-03,Ola
