transaction_id,true_label,matched_settlement_id,confidence,amount_diff,date_diff_days,status,llm_decision,llm_confidence,llm_reason,final_status,system_final_decision
TXN1000,MATCH,SETL2000,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1005,MATCH,SETL2005,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1008,MATCH,SETL2008,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1009,MATCH,SETL2009,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1012,MATCH,SETL2012,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1013,MATCH,SETL2013,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1014,MATCH,SETL2014,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1017,MATCH,SETL2017,0.94,0.0,3.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1019,MATCH,SETL2019,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1023,MATCH,SETL2023,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1024,MATCH,SETL2024,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1028,MATCH,SETL2028,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1029,MATCH,SETL2029,0.92,0.0,4.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1031,MATCH,SETL2031,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1036,MATCH,SETL2036,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1039,MATCH,SETL2039,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1042,MATCH,SETL2042,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1043,MATCH,SETL2043,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1045,MATCH,SETL2045,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1047,MATCH,SETL2047,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1048,MATCH,SETL2048,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1049,MATCH,SETL2049,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1050,MATCH,SETL2050,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1051,MATCH,SETL2051,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1052,MATCH,SETL2052,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1054,MATCH,SETL2054,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1055,MATCH,SETL2055,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1056,MATCH,SETL2056,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1058,MATCH,SETL2058,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1060,MATCH,SETL2060,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1061,MATCH,SETL2061,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1062,MATCH,SETL2062,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1063,MATCH,SETL2063,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1066,MATCH,SETL2066,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1068,MATCH,SETL2068,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1070,MATCH,SETL2070,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1071,MATCH,SETL2071,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1073,MATCH,SETL2073,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1074,MATCH,SETL2074,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1076,MATCH,SETL2076,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1077,MATCH,SETL2077,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1078,MATCH,SETL2078,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1080,MATCH,SETL2080,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1081,MATCH,SETL2081,0.92,0.0,4.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1082,MATCH,SETL2082,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1084,MATCH,SETL2084,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1089,MATCH,SETL2089,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1093,MATCH,SETL2093,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1095,MATCH,SETL2095,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1096,MATCH,SETL2096,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1098,MATCH,SETL2098,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1099,MATCH,SETL2099,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1069,MATCH,SETL2069,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1006,MATCH,SETL2006,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1030,MATCH,SETL2030,0.92,0.0,4.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1010,MATCH,SETL2010,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1018,MATCH,SETL2018,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1065,MATCH,SETL2065,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1087,MATCH,SETL2087,0.94,0.0,3.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1004,MATCH,SETL2004,0.96,0.0,2.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1032,MATCH,SETL2032,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1007,MATCH,SETL2007,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1041,MATCH,SETL2041,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1044,MATCH,SETL2044,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
