transaction_id,utr_reference,amount,date,merchant,true_label
TXN1000,UTR500000,3233.19,2026-08-01,Nykaa,MATCH
TXN1001,UTR500001,783.74,2026-08-04,Swiggy,MATCH
TXN1002,UTR500002,255.74,2026-08-03,BigBasket,MATCH
TXN1003,UTR500003,3049.89,2026-08-18,BigBasket,NO_MATCH
TXN1004,UTR500004,2155.65,2026-08-15,Nykaa,MATCH
TXN1005,UTR500005,3818.16,2026-08-06,Ola,MATCH
TXN1006,UTR500006,861.85,2026-08-25,Flipkart,MATCH
TXN1007,UTR500007,1961.64,2026-08-12,Flipkart,MATCH
TXN1008,UTR500008,4054.93,2026-08-24,Uber,MATCH
TXN1009,UTR500009,4868.27,2026-08-13,Swiggy,MATCH
TXN1010,UTR500010,4164.08,2026-08-20,Flipkart,MATCH
TXN1011,UTR500011,3552.4,2026-08-02,BigBasket,MATCH
TXN1012,UTR500012,4291.06,2026-08-04,Ola,MATCH
TXN1013,UTR500013,3214.85,2026-08-12,Myntra,MATCH
TXN1014,UTR500014,1126.58,2026-08-09,Swiggy,MATCH
TXN1015,UTR500015,938.58,2026-08-24,BigBasket,MATCH
TXN1016,UTR500016,1959.33,2026-08-21,BigBasket,NO_MATCH
TXN1017,UTR500017,3902.4,2026-08-08,Zomato,MATCH
TXN1018,UTR500018,1411.93,2026-08-07,Flipkart,MATCH
TXN1019,UTR500019,2546.23,2026-08-21,Uber,MATCH
TXN1020,UTR500020,784.19,2026-08-24,Nykaa,NO_MATCH
TXN1021,UTR500021,2959.31,2026-08-12,BigBasket,NO_MATCH
TXN1022,UTR500022,777.83,2026-08-16,Swiggy,MATCH
TXN1023,UTR500023,848.92,2026-08-06,Ola,MATCH
TXN1024,UTR500024,1985.36,2026-08-20,Uber,MATCH
TXN1025,UTR500025,4858.28,2026-08-01,Swiggy,NO_MATCH
TXN1026,UTR500026,1407.44,2026-08-21,Flipkart,MATCH
TXN1027,UTR500027,2230.35,2026-08-15,Zomato,NO_MATCH
TXN1028,UTR500028,4391.68,2026-08-09,Myntra,MATCH
TXN1029,UTR500029,621.41,2026-08-21,Nykaa,MATCH
TXN1030,UTR500030,3083.95,2026-08-05,Flipkart,MATCH
TXN1031,UTR500031,4772.15,2026-08-17,Zomato,MATCH
TXN1032,UTR500032,2494.17,2026-08-04,Flipkart,MATCH
TXN1033,UTR500033,4175.16,2026-08-10,BigBasket,MATCH
TXN1034,UTR500034,4402.25,2026-08-03,Swiggy,NO_MATCH
TXN1035,UTR500035,4892.12,2026-08-18,Myntra,MATCH
TXN1036,UTR500036,2428.88,2026-08-18,Myntra,MATCH
TXN1037,UTR500037,4374.92,2026-08-14,BigBasket,MATCH
TXN1038,UTR500038,3800.8,2026-08-23,BigBasket,NO_MATCH
TXN1039,UTR500039,3391.27,2026-08-12,Uber,MATCH
TXN1040,UTR500040,2312.28,2026-08-08,BigBasket,MATCH
TXN1041,UTR500041,203.07,2026-08-18,BigBasket,MATCH
TXN1042,UTR500042,135.24,2026-08-23,Zomato,MATCH
TXN1043,UTR500043,4536.56,2026-08-11,Swiggy,MATCH
TXN1044,UTR500044,1464.54,2026-08-16,BigBasket,MATCH
TXN1045,UTR500045,3644.43,2026-08-19,Uber,MATCH
TXN1046,UTR500046,2417.57,2026-08-14,BigBasket,MATCH
TXN1047,UTR500047,3329.02,2026-08-12,Ola,MATCH
